ID,SMILES,MW,logP,numAtoms,numRings,numRotBonds,numHDon,numHAcc
DB07674,CCOP(=O)(S)OCC,170.017,2.097,9,0,4,1,3
DB07677,Cc1nc(=O)c2c([nH]1)CCSC2,182.051,0.868,12,2,0,1,3
DB07684,CN(C)c1cccc2cc(S(=O)(=O)O)ccc12,251.062,2.152,17,2,2,1,3
DB07696,COC(=O)CC(NC(=O)OC(C)(C)C)C(C)=O,245.126,1.032,17,0,4,1,5
DB07711,CCCCCCC(C(C)O)n1cnc2c(N)ncnc21,277.19,2.301,20,2,7,2,6
DB07715,Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O,270.053,1.887,20,3,0,3,5
DB07718,O=C(O)C(=O)Cc1ccc(O)cc1,180.042,0.588,13,1,3,2,3
DB07722,O=[N+]([O-])c1ccc(OCCCO)cc1,197.069,1.356,14,1,5,1,4
DB07723,COc1ccc2[nH]cc(CCC(=O)O)c2c1,219.09,2.194,16,2,4,2,2
DB07729,O=C(Nc1cccc(-c2nn[nH]n2)c1)c1cccc(F)c1,283.087,2.258,21,3,3,2,4
DB07730,O=C1C=C(c2cccc(O)c2)S(=O)(=O)N1,225.01,0.193,15,2,1,2,4
DB07733,Cn1nc(C(F)(F)F)c2cc(C(=O)NCCS)sc21,309.022,2.313,19,2,3,2,5
DB07736,O=C(NCCS)C1CN(Cc2ccc(F)cc2)CCN1,297.131,0.645,20,2,5,3,4
DB07737,O=C(NCCCS)C1CN(Cc2ccc(F)cc2)CCN1,311.147,1.036,21,2,6,3,4
DB07749,CC(=O)NC(CC(C)C)C(=O)NC(C=O)Cc1ccccc1,304.179,1.464,22,1,8,2,3
DB07767,COc1cc(/C=C/C(=O)O)ccc1O,194.058,1.499,14,1,3,2,3
DB07795,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)ccc12,286.048,2.282,21,3,1,4,6
DB07803,O=C(O)c1cnc(-c2ccccc2)[nH]1,188.059,1.775,14,2,2,2,2
DB07807,OCC1CN(CCCc2ccccc2)CC(O)C1O,265.168,0.265,19,2,5,3,4
DB07808,O=C(O)C1CC1C(=O)Nc1cc(F)ccc1F,241.055,1.624,17,2,3,2,2
DB07819,O=C(/C=C/c1ccc(Cl)cc1)NO,197.024,1.859,13,1,2,2,2
DB07823,CC(C(=O)O)N1C(=O)C2C3CCC(C3)C2C1=O,237.1,0.491,17,3,2,1,3
DB07824,CCc1c(C)[nH]n(-c2nn[nH]n2)c1=O,194.092,-0.45,14,2,2,2,5
DB07825,CC(=O)c1ccc(N2CC(C(=O)O)CC2=O)cc1,247.084,1.327,18,2,3,1,3
DB07850,O=C(O)C1CCCCC1c1nc(=S)[nH][nH]1,227.073,1.826,15,2,2,3,3
DB07854,CNCc1ccc(-c2ncnc3nc[nH]c23)cc1,239.117,1.739,18,3,3,2,4
DB07865,O=C1C=C(Nc2nn[nH]n2)CCC1,179.081,0.248,13,2,2,2,5
DB07876,Cc1cncc2cccc(S(=O)(=O)N3CCCNCC3C)c12,319.135,1.916,22,3,2,1,4
DB07892,Cc1c(Sc2ccccc2)n(COCCO)c(=O)[nH]c1=O,308.083,0.963,21,2,6,2,6
DB07896,O=C(O)C(O)c1ccc(O)cc1,168.042,0.51,12,1,2,3,3
DB07897,OCCCCCCCCNCO,175.157,0.859,12,0,9,3,3
DB07900,CC(C)CC(C=O)C(O)C(=O)NO,189.1,-0.286,13,0,5,3,4
DB07906,O=[N+]([O-])c1ccc2c(c1)CNC(CO)C2,208.085,0.601,15,2,2,2,4
DB07907,CCCCCCC(O)C(=O)O,160.11,1.402,11,0,6,2,2
DB07908,Cc1c(CCO)c(=O)oc2cc(O)ccc12,220.074,1.342,16,2,2,2,4
DB07910,NC(Cc1ccccc1)C(O)O,167.095,-0.133,12,1,3,3,3
DB07911,O=C([O-])C(=O)/C=C/CC(=O)c1ccccc1,217.051,0.135,16,1,5,0,4
DB07912,CCCCCC(=O)CP(=O)(O)O,194.071,1.313,12,0,6,2,2
DB07913,CC(=O)C(N)CCc1ccccc1,177.115,1.535,13,1,4,1,2
DB07920,O=NC(=O)CNS(=O)(=O)c1ccc(-c2ccccc2)cc1,304.052,1.925,21,2,5,1,4
DB07921,O=NC(=O)CNS(=O)(=O)c1ccc(F)cc1,246.011,0.397,16,1,4,1,4
DB07922,O=NC(=O)CNS(=O)(=O)c1ccccc1,228.02,0.258,15,1,4,1,4
DB07923,CCCCCCCCOC1OC(CO)C(O)C(O)C1O,292.189,0.163,20,1,9,4,6
DB07924,CCCCCCCCOC1OC(CO)C(O)C(O)C1O,292.189,0.163,20,1,9,4,6
DB07925,O=S(CCCCP(=O)(O)O)c1ccccc1O,278.038,1.458,17,1,6,3,3
DB07928,CCCCCCCC(=O)NC1CCOC1=O,227.152,1.779,16,1,7,1,3
DB07939,CC(NC(=O)CCS)C(=O)O,177.046,-0.104,11,0,4,3,3
DB07950,O=C(O)Cc1c[nH]c2ccccc12,175.063,1.795,13,2,2,2,1
DB07951,O=C(O)CC(NC(=O)Cc1c[nH]c2ccccc12)C(=O)O,290.09,0.754,21,2,6,4,3
DB07952,O=C(O)CNC(=O)Cc1c[nH]c2ccccc12,232.085,0.911,17,2,4,3,2
DB07953,CC(C)C(NC(=O)Cc1c[nH]c2ccccc12)C(=O)O,274.132,1.936,20,2,5,3,2
DB07954,CC(C)Cn1c(=O)n(C)c(=O)c2[nH]cnc21,222.112,0.079,16,2,2,1,5
DB07955,Nc1ccc(CC(=O)OCCBr)c(C=O)c1,285.0,1.562,16,1,5,1,4
DB07957,COC(=O)C(OC(C)=O)c1ccc(N)cc1C(=O)O,267.074,0.744,19,1,4,2,6
DB07958,CCCc1cc(CC(=O)O)c2[nH]c(CC(N)=O)cc2c1,274.132,1.775,20,2,6,3,2
DB07960,CC(=O)NC1C(O)C=C(C(=O)O)OC1OCC(C)C,273.121,-0.151,19,1,5,3,5
DB07989,COC(=O)C(CC(C)C)N(O)C(C)=O,203.116,0.812,14,0,4,1,4
DB07992,O=S(=O)(O)Oc1c[nH]c2ccccc12,213.01,1.35,14,2,2,2,3
DB07996,CC1CNCCN1S(=O)(=O)c1cccc2cnccc12,291.104,1.217,20,3,2,1,4
DB07997,CNCCNS(=O)(=O)c1cccc2cnccc12,265.088,0.732,18,2,5,2,4
DB08007,O=C(NCc1ccccc1)NCC(O)C(=O)O,238.095,-0.069,17,1,5,4,3
DB08016,O=c1[nH]c(Cl)c(CCCCOP(=O)(O)O)c(=O)[nH]1,298.012,0.149,18,1,6,4,4
DB08017,COc1ccc(N2CCN(c3cccc(C)c3)CC2)nn1,284.164,2.12,21,3,3,0,5
DB08038,CC(N)C(=O)NC(C)C(=O)NC(Cc1ccccc1)C(C)O,307.19,-0.053,22,1,7,4,4
DB08040,CC(NC(=O)C(CC(=O)NO)Cc1ccccc1)C(=O)O,294.122,0.33,21,1,7,4,4
DB08050,O=C(O)C(=O)CCCc1ccccc1,192.079,1.663,14,1,5,1,2
DB08060,Nc1ccccc1C(=O)CCC(=O)O,193.074,1.316,14,1,4,2,3
DB08069,Cc1ccccc1-c1n[nH]c(=S)n1N,206.063,1.63,14,2,1,2,4
DB08070,Cc1[nH]ncc1-c1ccc(CCN)cc1,201.127,1.886,15,2,3,2,2
DB08074,CC(C)=CCn1cnc(N)c2ncnc1-2,203.117,1.326,15,2,2,1,5
DB08075,Nc1nccc(-c2csc(N)n2)n1,193.042,0.764,13,2,1,2,6
DB08081,CCCCCC(=O)CC(=O)NC1CCOC1=O,241.131,0.958,17,1,7,1,4
