ChEMBL ID,Smiles
CHEMBL1200819,CCCNC(C)C(=O)Nc1c(C)csc1C(=O)OC.Cl
CHEMBL1628233,O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12.[Na+].[Na+]
CHEMBL1083659,Cc1ccc(-n2nccn2)c(C(=O)N2CCN(c3nc4cc(Cl)ccc4o3)CC[C@H]2C)c1
CHEMBL1614637,CC(Oc1ccccc1)C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O
CHEMBL1873475,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1
CHEMBL1096,CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1
CHEMBL198362,O=C(NC[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1
CHEMBL1306,CC(C)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1
CHEMBL917,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F
CHEMBL174,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O
CHEMBL2040682,CC(C)C(=O)OCC(=O)[C@@]12O[C@H](C3CCCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C
CHEMBL3392049,[O-]n1ccccc1=S.[O-]n1ccccc1=S.[Zn+2]
CHEMBL98123,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC.Cl
CHEMBL386630,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O
CHEMBL607,CCOC(=O)C1(c2ccccc2)CCN(C)CC1
CHEMBL562,COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O
CHEMBL3989559,COc1ccnc(C[S+]([O-])c2nc3cc(OC(F)F)ccc3[n-]2)c1OC.O.[Na+]
CHEMBL1201037,Cl.NCCCC(N)(C(=O)O)C(F)F.O
CHEMBL205596,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C
CHEMBL282042,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1.CS(=O)(=O)O
CHEMBL4298128,Cc1nn(C)cc1S(=O)(=O)NC(=O)c1ccc(-n2ccc(OCC(C)(C)C(F)(F)F)n2)nc1N1C[C@@H](C)CC1(C)C
CHEMBL1200675,CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1.O=C(O)CC(O)(CC(=O)O)C(=O)O
CHEMBL1616046,OCl
CHEMBL2110372,CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1.Cl
CHEMBL1200972,CN(C)CCC(O)(c1ccccc1)c1ccccc1Cl.Cl
CHEMBL1401367,CC[N+]1(C)CCCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1.[Br-]
CHEMBL1626223,CN1CCCN=C1/C=C/c1cccs1
CHEMBL1201313,CN(C)CCC(O)(c1ccccc1)c1ccccc1Cl
CHEMBL1201212,COc1ccc(OC)c(C(O)CNC(=O)CN)c1
CHEMBL1095930,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)OC(C)OC(C)=O)=C(COC(N)=O)CS[C@H]12)c1ccco1
CHEMBL1481,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O
CHEMBL4559134,COc1ccc(CN2C3CC2CN(c2ccc(-c4cc(OCC(C)(C)O)cn5ncc(C#N)c45)cn2)C3)cn1
CHEMBL3188267,CNC(=O)c1ccc(-c2cnc3ncc(Cc4ccc5ncccc5c4)n3n2)cc1F
CHEMBL1492500,CN(C)CC/C=C1\c2ccccc2CSc2ccccc21
CHEMBL651,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1
CHEMBL1905872,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].[Na+]
CHEMBL1492,CN1CCC(OC(c2ccccc2)c2ccccc2)CC1
CHEMBL611,COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC
CHEMBL1200907,C[C@]12CC[C@H]3[C@@H](CC[C@@]45O[C@@H]4C(O)=C(C#N)C[C@]35C)[C@@H]1CC[C@@H]2O
CHEMBL559180,CC(COc1ccccc1)NC(C)C(O)c1ccc(O)cc1.Cl
CHEMBL9,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
CHEMBL1460,O=c1[nH]cnc2c1ncn2[C@H]1CC[C@@H](CO)O1
CHEMBL1200458,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[K+].[K+].[K+]
CHEMBL1200807,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC
CHEMBL1257073,O=C(NN1C(=O)[C@@H]2[C@@H]3C=C[C@@H]([C@H]4C[C@@H]34)[C@@H]2C1=O)c1ccc(C(F)(F)F)cc1
CHEMBL1574,CC(C)(N)Cc1ccccc1
CHEMBL1200772,CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O.[K+]
CHEMBL1200763,O=C([O-])CNC(=O)c1ccccc1[131I].[Na+]
CHEMBL471737,COc1cc2c(cc1OC)CC(=O)N(CCCN(C)C[C@H]1Cc3cc(OC)c(OC)cc31)CC2
CHEMBL1434,CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O
